Candidate_ID,Rank,SMILES,Molecule_class,R1_SMILES,R2_SMILES,R3_SMILES,R4_SMILES,Predicted_log_kH,Prediction_uncertainty,Relative_to_current_limit,Beyond_limit_flag,SA_score,logP,Search_run
TS0121,121,CCOC(OC)(c1ccc(N(C)C)cc1)C(CC)CC,ketal,*CC,*C,*c1ccc(N(C)C)cc1,*C(CC)CC,6.265069961547852,0.4054239690303802,0.16506996154785192,TRUE,3.2447419432338727,4.024500000000003,run_01
TS0122,122,CCCCCCCCCCC(OC)(OCCO)OC(C)C,orthoester,*CCO,*C(C)C,*OC,*CCCCCCCCCC,6.262564182281494,0.4411519169807434,0.1625641822814945,TRUE,3.2106819698661173,4.251300000000003,run_01
TS0123,123,CCCCCCC(OC)(ONCC)c1ccc(N(C)C)cc1,ketal,*NCC,*C,*c1ccc(N(C)C)cc1,*CCCCCC,6.262126445770264,0.4859550893306732,0.16212644577026403,TRUE,3.229427941346973,4.063300000000004,run_06
TS0124,124,CCCCCCC(OCCOC)(OC(C)C)c1ccc(N(C)C)cc1,ketal,*CCOC,*C(C)C,*c1ccc(N(C)C)cc1,*CCCCCC,6.2600579261779785,0.5427493453025818,0.16005792617797887,TRUE,3.1317643405408173,4.963800000000005,run_03
TS0125,125,CCCCCCC(OCCOCCN)(OC(C)(C)C)c1ccc(N(C)C)cc1,ketal,*CCOCCN,*C(C)(C)C,*c1ccc(N(C)C)cc1,*CCCCCC,6.259676456451416,0.6265203952789307,0.15967645645141637,TRUE,3.285868657540064,4.682800000000004,run_01
TS0126,126,CCCOC(OC)(c1ccc(N(C)C)cc1)C1CCCCC1,ketal,*CCC,*C,*c1ccc(N(C)C)cc1,*C1CCCCC1,6.2572197914123535,0.4255644083023071,0.15721979141235387,TRUE,3.149760423143336,4.558700000000004,run_01
TS0127,127,CCCCCCCCCCC(OC)(OCOC)OC(C)C,orthoester,*COC,*C(C)C,*OC,*CCCCCCCCCC,6.256997108459473,0.3352668285369873,0.156997108459473,TRUE,3.2434734818024555,4.862900000000004,run_01
TS0128,128,CCCCCC(OCC)(OCCC)c1ccc(N(C)C)cc1,ketal,*CCC,*CC,*c1ccc(N(C)C)cc1,*CCCCC,6.253688335418701,0.4157220125198364,0.15368833541870153,TRUE,3.036158332267528,4.948800000000005,run_01
TS0129,129,CCOC(CC(C)(C)C)(OC(C)C)c1ccc(N(C)C)cc1,ketal,*C(C)C,*CC,*c1ccc(N(C)C)cc1,*CC(C)(C)C,6.253098487854004,0.3997159600257873,0.15309848785400426,TRUE,3.218838099193648,4.803100000000005,run_04
TS0130,130,CCCCCCCCCCC(OC)(OCC)OCCNC(C)=O,orthoester,*CCNC(C)=O,*CC,*OC,*CCCCCCCCCC,6.249073505401611,0.692014217376709,0.14907350540161168,TRUE,3.111889478508578,4.006600000000002,run_02
TS0131,131,CCCCCCCCCCC(OCC)(OCO)OCCC,orthoester,*CCC,*CO,*OCC,*CCCCCCCCCC,6.2469801902771,0.6721159219741821,0.14698019027709996,TRUE,3.296133132029494,4.600500000000004,run_01
TS0132,132,CCCCCCCCCCC(OCO)(OCCNC(C)=O)c1c(OC)cc(OC)cc1OC,ketal,*CCNC(C)=O,*CO,*c1c(OC)cc(OC)cc1OC,*CCCCCCCCCC,6.245759963989258,0.8814039826393127,0.14575996398925817,TRUE,3.398795955782361,4.515100000000003,run_06
TS0133,133,COC(CC(C)(C)C)(OC(C)(C)C)c1ccc(N(C)C)cc1,ketal,*C(C)(C)C,*C,*c1ccc(N(C)C)cc1,*CC(C)(C)C,6.242239952087402,0.4423385560512543,0.1422399520874027,TRUE,3.195367318794375,4.803100000000005,run_01
TS0134,134,CCCCCCCCCCC(OCCN)(OCCCO)c1c(OC)cc(OC)cc1OC,ketal,*CCCO,*CCN,*c1c(OC)cc(OC)cc1OC,*CCCCCCCCCC,6.241235733032227,0.9272149205207824,0.14123573303222692,TRUE,3.3621263517768343,4.770300000000003,run_02
TS0135,135,CCCCCC(OC)(OC)c1ccc(N(C)C)cc1,ketal,*C,*C,*c1ccc(N(C)C)cc1,*CCCCC,6.241126537322998,0.3646541237831116,0.1411265373229984,TRUE,2.4428779376073564,3.778500000000003,run_01
TS0136,136,CCCCCC(OCC)(OCC)c1ccc(N(C)C)cc1,ketal,*CC,*CC,*c1ccc(N(C)C)cc1,*CCCCC,6.239105701446533,0.400210827589035,0.13910570144653356,TRUE,2.57517836844278,4.558700000000004,run_01
TS0137,137,CCCCCCCCCCC(OCN)(OCCOC)c1c(OC)cc(OC)cc1OC,ketal,*CCOC,*CN,*c1c(OC)cc(OC)cc1OC,*CCCCCCCCCC,6.239081859588623,0.9303314089775084,0.1390818595886234,TRUE,3.3691818408347523,4.991800000000004,run_01
TS0138,138,CCCCCCC(OCC)(OCCOCC)c1ccc(N(C)C)cc1,ketal,*CCOCC,*CC,*c1ccc(N(C)C)cc1,*CCCCCC,6.238869667053223,0.5623694658279419,0.138869667053223,TRUE,3.0791896917113863,4.965400000000005,run_01
TS0139,139,CCCCCC(OC)(OC(C)(C)C)c1ccc(N(C)C)cc1,ketal,*C(C)(C)C,*C,*c1ccc(N(C)C)cc1,*CCCCC,6.236780643463135,0.4402356147766113,0.13678064346313512,TRUE,3.058894224716284,4.947200000000005,run_04
TS0140,140,CCCCCCCCCCC(OC)(OCCC)OCCNC(C)=O,orthoester,*CCNC(C)=O,*CCC,*OC,*CCCCCCCCCC,6.234281539916992,0.6405158042907715,0.13428153991699254,TRUE,3.142608435184922,4.396700000000004,run_03
TS0141,141,CCCCCCC(OC)(OCNC)c1ccc(N(C)C)cc1,ketal,*CNC,*C,*c1ccc(N(C)C)cc1,*CCCCCC,6.234023094177246,0.4796644151210785,0.13402309417724645,TRUE,3.229559593301575,3.715700000000002,run_06
TS0142,142,CCCCCCC(OC)(OOCCC)c1ccc(N(C)C)cc1,ketal,*OCCC,*C,*c1ccc(N(C)C)cc1,*CCCCCC,6.233664989471436,0.5329060554504395,0.1336649894714368,TRUE,3.168704141970116,4.880400000000005,run_01
TS0143,143,CCC(CC)C(OC)(OC)c1ccc(N(C)C)cc1,ketal,*C,*C,*c1ccc(N(C)C)cc1,*C(CC)CC,6.230715274810791,0.3370993435382843,0.13071527481079137,TRUE,2.790529486510941,3.634400000000003,run_04
TS0144,144,CCCCCCCCCCC(OCCC)(OCCCN)OCOC,orthoester,*CCCN,*COC,*OCCC,*CCCCCCCCCC,6.228993892669678,0.5770243406295776,0.1289938926696781,TRUE,3.3142035219682,4.583500000000004,run_01
TS0145,145,CCCCCCCCCCC(OCCC)(OCCCCO)ONCC,orthoester,*CCCCO,*NCC,*OCCC,*CCCCCCCCCC,6.2262282371521,0.7497232556343079,0.12622823715209996,TRUE,3.424807828222762,4.927800000000005,run_03
TS0146,146,CCCCCCC(OCCOCCN)(OC(C)C)c1ccc(N(C)C)cc1,ketal,*CCOCCN,*C(C)C,*c1ccc(N(C)C)cc1,*CCCCCC,6.226007461547852,0.6154752969741821,0.12600746154785192,TRUE,3.26565426352661,4.292700000000004,run_01
TS0147,147,CCC(CC)C(OC)(OC(C)C)c1ccc(N(C)C)cc1,ketal,*C(C)C,*C,*c1ccc(N(C)C)cc1,*C(CC)CC,6.225194454193115,0.3977735638618469,0.1251944541931156,TRUE,3.311532955087793,4.413000000000004,run_01
TS0148,148,CCOC(OC(C)C)(c1ccc(N(C)C)cc1)C(CC)CC,ketal,*C(C)C,*CC,*c1ccc(N(C)C)cc1,*C(CC)CC,6.225165367126465,0.3874684870243072,0.1251653671264652,TRUE,3.346347418979648,4.803100000000005,run_03
TS0149,149,CCCCCC(OC)(OCC)c1ccc(N(C)C)cc1,ketal,*CC,*C,*c1ccc(N(C)C)cc1,*CCCCC,6.224276065826416,0.3954678177833557,0.12427606582641637,TRUE,2.946321523653454,4.168600000000003,run_06
TS0150,150,CCCCCCCCCCC(OCCC)(OCCCO)OC(=O)CC,orthoester,*CCCO,*C(=O)CC,*OCCC,*CCCCCCCCCC,6.221102237701416,0.6104300618171692,0.12110223770141637,TRUE,3.2487932081949022,4.949800000000006,run_05
TS0151,151,CCCCCCCCCCC(OCO)(OCCNC(=O)OC)c1c(OC)cc(OC)cc1OC,ketal,*CCNC(=O)OC,*CO,*c1c(OC)cc(OC)cc1OC,*CCCCCCCCCC,6.219108581542969,0.8486324548721313,0.1191085815429691,TRUE,3.432131126905128,4.735000000000004,run_01
TS0152,152,COC(CC(C)(C)C)(OC)c1ccc(N(C)C)cc1,ketal,*C,*C,*c1ccc(N(C)C)cc1,*CC(C)(C)C,6.215062141418457,0.3363614082336426,0.11506214141845739,TRUE,2.634722789678364,3.634400000000003,run_01
TS0153,153,CCCCCCCCCCC(OCCN)(OCCO)c1c(OC)cc(OC)cc1OC,ketal,*CCO,*CCN,*c1c(OC)cc(OC)cc1OC,*CCCCCCCCCC,6.21434211730957,0.901783287525177,0.11434211730957067,TRUE,3.3570401962724183,4.380200000000003,run_01
TS0154,154,CCCOC(OC)(c1ccc(N(C)C)cc1)C(CC)CC,ketal,*CCC,*C,*c1ccc(N(C)C)cc1,*C(CC)CC,6.213912963867188,0.4283382594585418,0.11391296386718874,TRUE,3.277212278396062,4.4146000000000045,run_01
TS0155,155,CCCCCCCCCCC(OCCO)(OCCNC(=O)OC)c1c(OC)cc(OC)cc1OC,ketal,*CCNC(=O)OC,*CCO,*c1c(OC)cc(OC)cc1OC,*CCCCCCCCCC,6.213764190673828,0.8413879871368408,0.11376419067382848,TRUE,3.3873033189520143,4.777500000000004,run_03
TS0156,156,CCCCCCCCCCC(OCC)(OCN)OC(C)(C)C,orthoester,*C(C)(C)C,*CN,*OCC,*CCCCCCCCCC,6.212202072143555,0.6930288672447205,0.11220207214355504,TRUE,3.3817387357984234,4.9554000000000045,run_01
TS0157,157,CCCCCCCCCCC(OCC)(OCO)OC(C)(C)C,orthoester,*C(C)(C)C,*CO,*OCC,*CCCCCCCCCC,6.211198329925537,0.7066503167152405,0.11119832992553746,TRUE,3.364384889644577,4.989000000000005,run_02
TS0158,158,C=CC(=O)NCCOC(CCCCCCCCCC)(OCO)c1c(OC)cc(OC)cc1OC,ketal,*CCNC(=O)C=C,*CO,*c1c(OC)cc(OC)cc1OC,*CCCCCCCCCC,6.210267066955566,0.8878158926963806,0.11026706695556676,TRUE,3.521755094516464,4.681200000000004,run_01
TS0159,159,COC(CC(C)(C)C)(OC(C)C)c1ccc(N(C)C)cc1,ketal,*C(C)C,*C,*c1ccc(N(C)C)cc1,*CC(C)(C)C,6.209969997406006,0.4067310392856598,0.10996999740600621,TRUE,3.183656621421457,4.413000000000004,run_01
TS0160,160,CCCCCCCCCCC(OCC)(OCN)OCCC,orthoester,*CCC,*CN,*OCC,*CCCCCCCCCC,6.2098002433776855,0.649764895439148,0.1098002433776859,TRUE,3.313781111168998,4.566900000000003,run_01
TS0161,161,CCCCCC(OC)(OCCC)c1ccc(N(C)C)cc1,ketal,*CCC,*C,*c1ccc(N(C)C)cc1,*CCCCC,6.208618640899658,0.4138600528240204,0.10861864089965856,TRUE,2.991876930078318,4.558700000000004,run_01
TS0162,162,CCCCCCCCCCC(OC)(OCCNC(C)=O)OC(C)(C)C,orthoester,*CCNC(C)=O,*C(C)(C)C,*OC,*CCCCCCCCCC,6.208541870117188,0.6180063486099243,0.10854187011718874,TRUE,3.1928389224806164,4.785200000000004,run_01
