Candidate_ID,Rank,SMILES,Molecule_class,R1_SMILES,R2_SMILES,R3_SMILES,R4_SMILES,Predicted_log_kH,Prediction_uncertainty,SA_score,logP,Discovery_stage
TS0057,64,CCCCCCC(OCNC)(OC(C)C)c1ccc(N(C)C)cc1,ketal,*CNC,*C(C)C,*c1ccc(N(C)C)cc1,*CCCCCC,6.4056267738342285,0.5112364292144775,3.3438428679163694,4.494300000000004,Targeted_search
TS0058,65,CCCCCCCCCCC(OCO)(OCCOCCN)c1c(OC)cc(OC)cc1OC,ketal,*CCOCCN,*CO,*c1c(OC)cc(OC)cc1OC,*CCCCCCCCCC,6.405354499816895,1.0071873664855957,3.4768344388981234,4.354300000000003,Targeted_search
TS0059,66,CCCCCCCCCCC(OC)(OCNC)OC(C)C,orthoester,*CNC,*C(C)C,*OC,*CCCCCCCCCC,6.404898166656494,0.4313305616378784,3.409741916815719,4.435900000000004,Targeted_search
HTS000008,67,CCCCCCCCCCC(OC)(OCCOCCN)Oc1ccccc1,orthoester,C(COCCN)*,c1(*)ccccc1,CO*,CCCCCCCCCC*,6.40286052,0.7787504942863445,3.032362760568031,4.888300000000004,HTS
HTS000009,68,CCCCCCCCCCC(OC)(OCC)OCCOC,orthoester,C(COC)*,C(C)*,CO*,CCCCCCCCCC*,6.40276028,0.5948856117900932,3.086866117687902,4.516900000000004,HTS
TS0060,69,CCCCCCCCCCC(OC)(OCCC)OCCCO,orthoester,*CCCO,*CCC,*OC,*CCCCCCCCCC,6.400933265686035,0.598189651966095,3.157346775500656,4.643000000000005,Targeted_search
TS0061,70,CCCCCCCCCCC(OC)(OCC)OCCO,orthoester,*CCO,*CC,*OC,*CCCCCCCCCC,6.396649360656738,0.5805672407150269,3.148381503673434,3.862800000000003,Targeted_search
HTS000010,71,CCCCCCCCCCC(OCC)(OCC)OCCOCCN,orthoester,C(COCCN)*,CC*,O(CC)*,CCCCCCCCCC*,6.39553378,0.7795846912618754,2.8210454736732764,4.235900000000003,HTS
TS0062,72,CCCCCCCCCCC(OCN)(OCCNC(C)=O)c1c(OC)cc(OC)cc1OC,ketal,*CCNC(C)=O,*CN,*c1c(OC)cc(OC)cc1OC,*CCCCCCCCCC,6.389012336730957,0.9284939169883728,3.4101136815348703,4.481500000000003,Targeted_search
TS0063,73,CCCCCCCCCCC(OCCO)(ONCC)c1c(OC)cc(OC)cc1OC,ketal,*CCO,*NCC,*c1c(OC)cc(OC)cc1OC,*CCCCCCCCCC,6.388708591461182,0.9158886671066284,3.454833830224673,4.946000000000004,Targeted_search
TS0064,74,CCCCCCCCCCC(OC)(OCCC)OCCO,orthoester,*CCO,*CCC,*OC,*CCCCCCCCCC,6.388556480407715,0.5291467905044556,3.172167812603158,4.252900000000004,Targeted_search
TS0065,75,CCCCCCCCCCC(OCCNC(C)=O)(OCNC)c1c(OC)cc(OC)cc1OC,ketal,*CCNC(C)=O,*CNC,*c1c(OC)cc(OC)cc1OC,*CCCCCCCCCC,6.385810852050781,0.9169389605522156,3.4685392240711206,4.742200000000004,Targeted_search
TS0066,76,CCCCCCCCCCC(OC)(OCC)OCCCO,orthoester,*CCCO,*CC,*OC,*CCCCCCCCCC,6.384671211242676,0.6361837387084961,3.130805361494944,4.252900000000004,Targeted_search
HTS000011,77,CCCCCCCCCCC(OC)(OCCC)OCCOC,orthoester,COCC*,CCC*,CO*,CCCCCCCCCC*,6.3843386,0.53308967556653,3.1155336241358915,4.9070000000000045,HTS
TS0067,78,CCCCCCCCCCC(OC)(OCC)OCOC,orthoester,*COC,*CC,*OC,*CCCCCCCCCC,6.382769584655762,0.4556605517864227,3.182344141036072,4.474400000000004,Targeted_search
TS0068,79,CCCCCCCCCCC(OC)(OCC)OCF,orthoester,*CF,*CC,*OC,*CCCCCCCCCC,6.381204128265381,0.4666697680950165,3.280231259726896,4.797500000000005,Targeted_search
