Candidate_ID,Source_Molecule_ID,Rank,SMILES,Molecule_class,R1_SMILES,R2_SMILES,R3_SMILES,R4_SMILES,SA_score,logP,Predicted_log_kH,Prediction_uncertainty,High_value_flag,Beyond_limit_flag
HTS009168,virt_molwt_v1_full_0047898,9168,C=CC(=O)OCCOC(CCCC)(OC)c1ccc(OC)cc1,ketal,C(COC(=O)C=C)*,C*,COc1ccc(*)cc1,CCCC*,3.077042603508576,3.4304000000000023,4.1075396600000005,0.4096686045519263,TRUE,FALSE
HTS009169,virt_molwt_v1_full_0572764,9169,C=CC(=O)NCCOCCOC(OCC)(OCCOC)C(C)(C)C,orthoester,C=CC(=O)NCCOCC*,COCC*,CCO*,C(C)(C)(C)*,3.5914527979863,1.7211999999999994,4.10750648,0.3732129359690385,TRUE,FALSE
HTS009170,virt_molwt_v1_full_1000734,9170,C=CCC(=O)OCCOC(CCC)(OC1CCCCC1C(=O)O)c1ccc(OC)cc1,ketal,C1(*)CCCCC1C(=O)O,C=CCC(=O)OCC*,COc1ccc(*)cc1,CCC*,3.8684201902687008,4.444000000000004,4.10749352,0.3030889159118256,TRUE,FALSE
HTS009171,virt_molwt_v1_full_0022613,9171,CCCC(OCC)(OCCCCCCNC(=O)C(F)(F)F)c1ccc(O)cc1,ketal,C(CCCCCNC(=O)C(F)(F)F)*,C(C)*,c1(*)ccc(O)cc1,CCC*,3.2248304957019016,4.637100000000005,4.10748676,0.4902518523414578,TRUE,FALSE
HTS009172,virt_molwt_v1_full_0387365,9172,C=CC(=O)NCCOCCOC(Oc1ccc(OC)cc1)(c1ccc(O)cc1)C(C)C,ketal,C=CC(=O)NCCOCC*,c1(*)ccc(OC)cc1,c1(*)ccc(O)cc1,C(C)(C)*,3.219530381948813,3.6240000000000014,4.10740798,0.3475691756351611,TRUE,FALSE
HTS009173,virt_molwt_v1_full_0601084,9173,C=CCCCOC(OCC)(OCCC)C(C)C,orthoester,C=CCCC*,C(CC)*,CCO*,C(C)(C)*,3.654945906940516,3.7421000000000033,4.10740788,0.3870215043357533,TRUE,FALSE
HTS009174,virt_molwt_v1_full_0626835,9174,C=C(C)C(=O)OCCOC(OC)(OCC(C)(C)C)C(CC)CC,orthoester,C=C(C)C(=O)OCC*,CC(C)(C)C*,CO*,C(CC)(CC)*,3.822506690047039,3.921400000000003,4.10737706,0.5210128210911191,TRUE,FALSE
HTS009175,virt_molwt_v1_full_0570652,9175,CCOC(CC(C)C)(OCCOC)OCC(C)(C)C,orthoester,C(C(C)(C)C)*,COCC*,CCO*,C(C(C)C)*,3.589273860597721,3.448500000000002,4.10731856,0.4948545688067095,TRUE,FALSE
HTS009176,virt_molwt_v1_full_1341139,9176,CCCCC(OCCOCCN)(Oc1c(C(=O)O)cccc1C(=O)O)c1ccc(C)cc1,ketal,c1(*)c(C(=O)O)cccc1C(=O)O,C(COCCN)*,c1(*)ccc(C)cc1,CCCC*,3.228762652554707,3.805320000000002,4.107305800000001,0.48441875250341,TRUE,FALSE
HTS009177,virt_molwt_v1_full_0811974,9177,C=CC(=O)NCCOCCOC(CCC)(Oc1cccc(C(C)=O)c1)c1ccc(OC)cc1,ketal,C=CC(=O)NCCOCC*,c1(*)cccc(C(C)=O)c1,COc1ccc(*)cc1,CCC*,3.1976408905110283,4.265100000000003,4.1072969,0.2275408583171384,TRUE,FALSE
